127.0.0.1 - - [20/Oct/2017:11:36:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:36:46 +0530] "GET /onlineshopping/ HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:36:55 +0530] "GET /onlineshopping/home HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:37:30 +0530] "GET /onlineshopping/home HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:37:30 +0530] "GET /onlineshopping/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:37:30 +0530] "GET /onlineshopping/resources/css/bootstrap-readable-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:11:37:30 +0530] "GET /onlineshopping/resources/css/myapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:06 +0530] "GET /onlineshopping/ HTTP/1.1" 200 11081
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:06 +0530] "GET /onlineshopping/resources/images/i1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:06 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:47 +0530] "GET /onlineshopping/login HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:54 +0530] "GET /onlineshopping/ HTTP/1.1" 200 11081
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:54 +0530] "GET /onlineshopping/resources/images/i1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:30:54 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:33:13 +0530] "GET /onlineshopping/login HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:53 +0530] "GET /onlineshopping/ HTTP/1.1" 200 11081
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:54 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:54 +0530] "GET /onlineshopping/resources/images/i1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:56 +0530] "GET /onlineshopping/membership HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:56 +0530] "GET /onlineshopping/membership?execution=e1s1 HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:34:57 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:35:31 +0530] "POST /onlineshopping/membership?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:35:31 +0530] "GET /onlineshopping/membership?execution=e1s2 HTTP/1.1" 200 6352
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:35:31 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:35:44 +0530] "POST /onlineshopping/membership?execution=e1s2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:12:35:46 +0530] "GET /onlineshopping/membership?execution=e1s3 HTTP/1.1" 200 6051
